rank,category,racename,race_id,rider_name,rider_id,points,jpp,date
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 13 : Lugo - Puerto de Ancares (prov.)",43489,O'Connor Ben,23763,0.0,0,2024-08-30
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 13 : Lugo - Puerto de Ancares (prov.)",43489,Rodriguez Carlos,30836,0.0,0,2024-08-30
-2,GT2s,"Puntentrui na Vuelta a España , Stage 13 : Lugo - Puerto de Ancares (prov.)",43489,van Aert Wout,20730,0.0,0,2024-08-30
-3,GT2s,"Bergtrui na Vuelta a España , Stage 13 : Lugo - Puerto de Ancares (prov.)",43489,van Aert Wout,20730,0.0,0,2024-08-30
1,GT2s,"Vuelta a España , Stage 13 : Lugo - Puerto de Ancares (prov.)",43489,WOODS Michael,20257,0.0,0,2024-08-30
1,2.WT1s,"Renewi Tour , Stage 3 : Blankenberge - Ardooie (prov.)",43559,MILAN Jonathan,29359,0.0,0,2024-08-30
1,2.PSs,"Tour of Hainan, Stage 4 : Wuzhishan - Changjiang (prov.)",43554,GATE Aaron,13153,0.0,0,2024-08-30
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 12 : Ourense Termal - Estacion de Montaña de Manzaneda (prov.)",43488,O'Connor Ben,23763,0.0,0,2024-08-29
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 12 : Ourense Termal - Estacion de Montaña de Manzaneda (prov.)",43488,Rodriguez Carlos,30836,0.0,0,2024-08-29
-2,GT2s,"Puntentrui na Vuelta a España , Stage 12 : Ourense Termal - Estacion de Montaña de Manzaneda (prov.)",43488,van Aert Wout,20730,0.0,0,2024-08-29
-3,GT2s,"Bergtrui na Vuelta a España , Stage 12 : Ourense Termal - Estacion de Montaña de Manzaneda (prov.)",43488,Yates Adam,18975,0.0,0,2024-08-29
1,GT2s,"Vuelta a España , Stage 12 : Ourense Termal - Estacion de Montaña de Manzaneda (prov.)",43488,CASTRILLO ZAPATER Pablo,34135,0.0,0,2024-08-29
1,2.WT1s,"Renewi Tour , Stage 2 : Tessenderlo I.T.T. (prov.)",43558,SEGAERT Alec,33567,0.0,0,2024-08-29
1,2.PSs,"Tour of Hainan, Stage 3 : Lingshui - Wuzhishan (prov.)",43553,GATE Aaron,13153,0.0,0,2024-08-29
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,O'Connor Ben,23763,0.0,0,2024-08-28
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,Rodriguez Carlos,30836,0.0,0,2024-08-28
-2,GT2s,"Puntentrui na Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,van Aert Wout,20730,0.0,0,2024-08-28
-3,GT2s,"Bergtrui na Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,Yates Adam,18975,0.0,0,2024-08-28
1,GT2s,"Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,DUNBAR Edward,23765,0.0,0,2024-08-28
1,2.WT1s,"Renewi Tour , Stage 1 : Riemst - Bilzen (prov.)",43557,MILAN Jonathan,29359,0.0,0,2024-08-28
1,2.PSs,"Tour of Hainan, Stage 2 : Qionghai - Lingshui (prov.)",43552,LAAS Martin,21460,0.0,0,2024-08-28
1,1.1,Muur Classic Geraardsbergen,43351,BERCKMOES Jenno,32588,0.0,0,2024-08-28
2,1.1,Muur Classic Geraardsbergen,43351,JOHANNESSEN Tobias Halland,31567,0.0,0,2024-08-28
3,1.1,Muur Classic Geraardsbergen,43351,CHRISTEN Fabio,31719,0.0,0,2024-08-28
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,O'Connor Ben,23763,0.0,0,2024-08-27
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,Lipowitz Florian,30805,0.0,0,2024-08-27
-2,GT2s,"Puntentrui na Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,van Aert Wout,20730,0.0,0,2024-08-27
-3,GT2s,"Bergtrui na Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,Yates Adam,18975,0.0,0,2024-08-27
1,GT2s,"Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,VAN AERT Wout,20730,0.0,0,2024-08-27
1,2.PSs,"Tour of Hainan, Stage 1 : Qionghai - Qionghai (prov.)",43551,MARECZKO Jakub,22713,0.0,0,2024-08-27
