rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.WT1s,"Volta a Catalunya, Stage 2 : Mataro - Vallter/Setcases (prov.)",42622,POGACAR Tadej,26526,1,0,2024-03-19,Wijnand
1,2.1s,"Settimana Coppi e Bartali, Stage 1 : Pesaro - Pesaro (prov.)",42631,BRENNER Marco,31323,0.2,0,2024-03-19,-
1,2.WT1s,"Volta a Catalunya, Stage 1 : Sant Feliu de Guixols - Sant Feliu de Guixols (prov.)",42621,SCHULTZ Nicholas,22744,1,0,2024-03-18,-
1,1.1,Cholet Agglo Tour,42564,LAPEIRA Paul,30615,2,0,2024-03-17,-
2,1.1,Cholet Agglo Tour,42564,RENARD Alexis,29969,0.3,0,2024-03-17,-
3,1.1,Cholet Agglo Tour,42564,VAN ASBROECK Tom,18504,0.1,0,2024-03-17,-
1,1.WT1,Milano - Sanremo,42560,PHILIPSEN Jasper,26392,15,50,2024-03-16,Nicky
2,1.WT1,Milano - Sanremo,42560,MATTHEWS Michael,13066,3,35,2024-03-16,PB
3,1.WT1,Milano - Sanremo,42560,POGACAR Tadej,26526,2,25,2024-03-16,Wijnand
4,1.WT1,Milano - Sanremo,42560,PEDERSEN Mads,21992,1,20,2024-03-16,Kees
5,1.WT1,Milano - Sanremo,42560,BETTIOL Alberto,20697,0.5,18,2024-03-16,PB
6,1.WT1,Milano - Sanremo,42560,MOHORIC Matej,21145,0,16,2024-03-16,PB
7,1.WT1,Milano - Sanremo,42560,VAN GILS Maxim,28521,0,14,2024-03-16,Albert
8,1.WT1,Milano - Sanremo,42560,STUYVEN Jasper,18233,0,12,2024-03-16,Jan
9,1.WT1,Milano - Sanremo,42560,ALAPHILIPPE Julian,18610,0,10,2024-03-16,Kaspar
10,1.WT1,Milano - Sanremo,42560,VAN DER POEL Mathieu,21971,0,8,2024-03-16,Harry
1,1.1,Classic Loire Atlantique,42561,LAPEIRA Paul,30615,2,0,2024-03-16,-
2,1.1,Classic Loire Atlantique,42561,VAN ASBROECK Tom,18504,0.3,0,2024-03-16,-
3,1.1,Classic Loire Atlantique,42561,MORIN Emmanuel,24880,0.1,0,2024-03-16,-
1,1.PS,Bredene Koksijde Classic,42558,MOZZATO Luca,28037,4,50,2024-03-15,Nicky
2,1.PS,Bredene Koksijde Classic,42558,GROENEWEGEN Dylan,19238,1,35,2024-03-15,Albert
3,1.PS,Bredene Koksijde Classic,42558,THIJSSEN Gerben,27085,0.5,25,2024-03-15,Vel
4,1.PS,Bredene Koksijde Classic,42558,CONSONNI Simone,22681,0,20,2024-03-15,-
5,1.PS,Bredene Koksijde Classic,42558,DE LIE Arnaud,32221,0,18,2024-03-15,PB
6,1.PS,Bredene Koksijde Classic,42558,LIEPINS Emils,18296,0,16,2024-03-15,-
7,1.PS,Bredene Koksijde Classic,42558,DE KLEIJN Arvid,22596,0,14,2024-03-15,Wijnand
8,1.PS,Bredene Koksijde Classic,42558,DUPONT Timothy,7948,0,12,2024-03-15,-
9,1.PS,Bredene Koksijde Classic,42558,HOFSTETTER Hugo,22702,0,10,2024-03-15,PB
10,1.PS,Bredene Koksijde Classic,42558,VAN GESTEL Dries,21952,0,8,2024-03-15,Roy
1,1.PS,GP de Denain - Porte du Hainaut,42557,STEIMLE Jannik,25081,4,50,2024-03-14,-
2,1.PS,GP de Denain - Porte du Hainaut,42557,DESAL Cériel,29273,1,35,2024-03-14,-
3,1.PS,GP de Denain - Porte du Hainaut,42557,VAN GESTEL Dries,21952,0.5,25,2024-03-14,Roy
4,1.PS,GP de Denain - Porte du Hainaut,42557,DE LIE Arnaud,32221,0,20,2024-03-14,PB
5,1.PS,GP de Denain - Porte du Hainaut,42557,PAGE Hugo,30663,0,18,2024-03-14,Jan
6,1.PS,GP de Denain - Porte du Hainaut,42557,JARNET Maxime,28630,0,16,2024-03-14,-
7,1.PS,GP de Denain - Porte du Hainaut,42557,VAN MOER Brent,28448,0,14,2024-03-14,Kaspar
8,1.PS,GP de Denain - Porte du Hainaut,42557,DE GENDT Aimé,21998,0,12,2024-03-14,-
9,1.PS,GP de Denain - Porte du Hainaut,42557,DEHAIRS Simon,32634,0,10,2024-03-14,-
10,1.PS,GP de Denain - Porte du Hainaut,42557,CAPIOT Amaury,22669,0,8,2024-03-14,-
1,2.1,"Tour de Taiwan, General classification",42615,BLACKMORE Joseph,34973,2,0,2024-03-14,-
2,2.1,"Tour de Taiwan, General classification",42615,KOISHI Yuma,21852,0.3,0,2024-03-14,-
3,2.1,"Tour de Taiwan, General classification",42615,BETTLES Carter,29531,0.1,0,2024-03-14,-
