rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
-4,GT1s,"Leiderstrui na Tour de France, Stage 9 : Troyes - Troyes (prov.)",43281,Pogacar Tadej,26526,1,0,2024-07-07,Wijnand
-1,GT1s,"Jongerentrui na Tour de France, Stage 9 : Troyes - Troyes (prov.)",43281,Evenepoel Remco,28377,0.1,0,2024-07-07,Roy
-2,GT1s,"Puntentrui na Tour de France, Stage 9 : Troyes - Troyes (prov.)",43281,Girmay Biniam,29474,0.2,0,2024-07-07,Nicky
-3,GT1s,"Bergtrui na Tour de France, Stage 9 : Troyes - Troyes (prov.)",43281,Abrahamsen Jonas,22233,0.2,0,2024-07-07,-
1,GT1s,"Tour de France, Stage 9 : Troyes - Troyes (prov.)",43281,TURGIS Anthony,21312,3,0,2024-07-07,Roy
1,2.PSs,"Tour of Qinghai Lake, Stage 1 : Xining - Xining (prov.)",43364,PLOWRIGHT Jensen,29528,0.3,0,2024-07-07,-
1,2.1,"Österreich-Rundfahrt / Tour of Austria , General classification (prov.)",43357,ULISSI Diego,10023,2,0,2024-07-07,Kaspar
2,2.1,"Österreich-Rundfahrt / Tour of Austria , General classification (prov.)",43357,RIVERA VARGAS Brandon Smith,26283,0.3,0,2024-07-07,Arjan
3,2.1,"Österreich-Rundfahrt / Tour of Austria , General classification (prov.)",43357,SHEFFIELD Magnus,31598,0.1,0,2024-07-07,Jan
1,2.1s,"Sibiu Cycling Tour, Stage 2b : Sibiu I.T.T. (prov.)",43360,WALKER Max,31835,0.2,0,2024-07-07,-
1,2.1s,"Österreich-Rundfahrt / Tour of Austria , Stage 5 : Kufstein - Kühtai (prov.)",43356,no result,13543,0.2,0,2024-07-07,-
1,2.1s,"Sibiu Cycling Tour, Stage 2a : Sibiu - Sibiu (prov.)",43359,PICKRELL Riley,31786,0.2,0,2024-07-07,-
1,NC5,National Championships Malta R.R. (prov.),43597,BUTTIGIEG Aidan,32043,0.0,0,2024-07-07,-
1,NCT5,National Championships Guam (Ritidian) I.T.T. (prov.),43345,APONIK Dan,26770,0.0,0,2024-07-07,-
-4,GT1s,"Leiderstrui na Tour de France, Stage 8 : Semur-en-Auxois - Colombey-les-Deux-Eglises (prov.)",43280,Pogacar Tadej,26526,1,0,2024-07-06,Wijnand
-1,GT1s,"Jongerentrui na Tour de France, Stage 8 : Semur-en-Auxois - Colombey-les-Deux-Eglises (prov.)",43280,Evenepoel Remco,28377,0.1,0,2024-07-06,Roy
-2,GT1s,"Puntentrui na Tour de France, Stage 8 : Semur-en-Auxois - Colombey-les-Deux-Eglises (prov.)",43280,Girmay Biniam,29474,0.2,0,2024-07-06,Nicky
-3,GT1s,"Bergtrui na Tour de France, Stage 8 : Semur-en-Auxois - Colombey-les-Deux-Eglises (prov.)",43280,Abrahamsen Jonas,22233,0.2,0,2024-07-06,-
1,GT1s,"Tour de France, Stage 8 : Semur-en-Auxois - Colombey-les-Deux-Eglises (prov.)",43280,GIRMAY HAILU Biniam,29474,3,0,2024-07-06,Nicky
1,2.1s,"Österreich-Rundfahrt / Tour of Austria , Stage 4 : St, Johann Alpendorf - Kals (prov.)",43355,GANNA Filippo,24057,0.2,0,2024-07-06,Vel
1,2.1s,"Sibiu Cycling Tour, Stage 1 : Sibiu - Paltinis (prov.)",43358,LEKNESSUND Andreas,27653,0.2,0,2024-07-06,Paul
-4,GT1s,"Leiderstrui na Tour de France, Stage 7 : Nuits-Saint-Georges - Gevrey-Chambertin I.T.T. (prov.)",43279,Pogacar Tadej,26526,1,0,2024-07-05,Wijnand
-1,GT1s,"Jongerentrui na Tour de France, Stage 7 : Nuits-Saint-Georges - Gevrey-Chambertin I.T.T. (prov.)",43279,Evenepoel Remco,28377,0.1,0,2024-07-05,Roy
-2,GT1s,"Puntentrui na Tour de France, Stage 7 : Nuits-Saint-Georges - Gevrey-Chambertin I.T.T. (prov.)",43279,Girmay Biniam,29474,0.2,0,2024-07-05,Nicky
-3,GT1s,"Bergtrui na Tour de France, Stage 7 : Nuits-Saint-Georges - Gevrey-Chambertin I.T.T. (prov.)",43279,Abrahamsen Jonas,22233,0.2,0,2024-07-05,-
1,GT1s,"Tour de France, Stage 7 : Nuits-Saint-Georges - Gevrey-Chambertin I.T.T. (prov.)",43279,EVENEPOEL Remco,28377,3,0,2024-07-05,Roy
1,2.1s,"Österreich-Rundfahrt / Tour of Austria , Stage 3 : Schladming - St. Johann Alpendorf (prov.)",43354,ULISSI Diego,10023,0.2,0,2024-07-05,Kaspar
