renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
17893,YATES Simon,YATES Simon,Jan,19,JAY,GBR,31,0,14
16653,DEMARE Arnaud,DEMARE Arnaud,Jan,9,ARK,FRA,32,0,0
32766,GREGOIRE Romain,GREGOIRE Romain,Jan,9,FDJ,FRA,20,0,0
26383,GALL Felix,GALL Felix,Jan,6,A2R,AUT,25,0,0
31598,SHEFFIELD Magnus,SHEFFIELD Magnus,Jan,5,IGD,USA,21,0,0
16722,WELLENS Tim,WELLENS Tim,Jan,5,UAD,BEL,32,0,0
25026,HIGUITA GARCIA Sergio Andres,HIGUITA GARCIA Sergio Andres,Jan,4,BOH,COL,26,0,0
25623,TILLER Rasmus Fossum,TILLER Rasmus Fossum,Jan,4,UXT,NOR,27,0,0
27749,ZANA Filippo,ZANA Filippo,Jan,3,JAY,ITA,24,0,0
23427,KEMNA Lennard,KEMNA Lennard,Jan,3,BOH,GER,27,0,0
18233,STUYVEN Jasper,STUYVEN Jasper,Jan,3,LTK,BEL,31,0,0
31621,LAURANCE Axel,LAURANCE Axel,Jan,2,ADC,FRA,22,0,0
28580,VANSEVENANT Mauri,VANSEVENANT Mauri,Jan,2,SOQ,BEL,24,0,0
25671,SERRANO RODRIGUEZ Gonzalo,SERRANO RODRIGUEZ Gonzalo,Jan,2,MOV,ESP,29,0,0
30663,PAGE Hugo,PAGE Hugo,Jan,2,ICW,FRA,22,0,0
32185,NYS Thibau,NYS Thibau,Jan,2,LTK,BEL,21,0,0
26965,DAINESE Alberto,DAINESE Alberto,Jan,2,TUD,ITA,25,0.3,0
20917,ACKERMANN Pascal,ACKERMANN Pascal,Jan,2,IPT,GER,29,0,0
28553,DVERSNES Fredrik,DVERSNES Fredrik,Jan,2,UXT,NOR,26,0,0
23299,SOLER GIMENEZ Marc,SOLER GIMENEZ Marc,Jan,2,UAD,ESP,30,0,0
24326,AULAR SANABRIA Orluis Alberto,AULAR SANABRIA Orluis Alberto,Jan,2,CJR,VEN,27,0,0
24110,PARET PEINTRE Aurélien,PARET PEINTRE Aurélien,Jan,2,A2R,FRA,27,0,0
13270,TRENTIN Matteo,TRENTIN Matteo,Jan,2,TUD,ITA,34,0,0
30648,PICCOLO Andrea,PICCOLO Andrea,Jan,1,EFE,ITA,22,0,0
31495,PARET PEINTRE Valentin,PARET PEINTRE Valentin,Jan,1,A2R,FRA,22,0,12
26429,EEKHOFF Nils,EEKHOFF Nils,Jan,1,DSM,NED,25,0,0
22683,GUERREIRO Ruben Antonio Almeida,GUERREIRO Ruben Antonio Almeida,Jan,1,MOV,POR,29,0,0
13863,NIZZOLO Giacomo,NIZZOLO Giacomo,Jan,1,Q36,ITA,34,0,0
30686,PENHOET Paul,PENHOET Paul,Jan,1,FDJ,FRA,22,0,0
32946,MIHKELS Madis,MIHKELS Madis,Jan,0,ICW,EST,20,0,0
