renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
20730,VAN AERT Wout,VAN AERT Wout,Bram,49,TJV,BEL,29,6.3,122
26509,HIRSCHI Marc,HIRSCHI Marc,Bram,14,UAD,SUI,25,7.5,154
22794,MAS NICOLAU Enric,MAS NICOLAU Enric,Bram,13,MOV,ESP,28,0.2,34
27025,HAYTER Ethan,HAYTER Ethan,Bram,9,IGD,GBR,25,0,0
24189,COSNEFROY Benoit,COSNEFROY Benoit,Bram,8,A2R,FRA,28,15.0,146
13362,BENNETT Sam,BENNETT Sam,Bram,3,A2R,IRL,33,5.2,50
35802,AUGUST Andrew,AUGUST Andrew,Bram,1,IGD,USA,18,0,0
31511,RAFFERTY Darren,RAFFERTY Darren,Bram,1,EFE,IRL,20,0,16
31833,LAMPERTI Luke,LAMPERTI Luke,Bram,1,SOQ,USA,21,0.4,14
30666,SIMMONS Quinn,SIMMONS Quinn,Bram,1,LTK,USA,22,0,0
31678,ROMO OLIVER Javier,ROMO OLIVER Javier,Bram,0,MOV,ESP,24,0,10
