renner_id,renner,rider,ploegleider,kosten,team,nationality,age,punten,JPP
21930,BOL Cees,BOL Cees,Roy,1,???,NED,28,0.5,43
4557,DE GENDT Thomas,DE GENDT Thomas,Roy,1,LTD,BEL,37,0,0
21405,EIKING Odd Christian,EIKING Odd Christian,Roy,0,EFE,NOR,29,0,0
28377,EVENEPOEL Remco,EVENEPOEL Remco,Roy,70,SOQ,BEL,23,76.2,324
5139,MOLLEMA Bauke,MOLLEMA Bauke,Roy,2,TFS,NED,37,0,24
7751,POELS Wout,POELS Wout,Roy,1,TBV,NED,36,6,26
12843,QUINTANA Nairo,QUINTANA ROJAS Nairo Alexander,Roy,5,???,COL,33,1,25
30836,RODRIGUEZ Carlos,RODRIGUEZ CANO Carlos,Roy,12,IGD,ESP,22,9.3,74
12193,SAGAN Peter,SAGAN Peter,Roy,5,TEN,SVK,33,0,12
21267,SARREAU Marc,SARREAU Marc,Roy,1,ACT,FRA,30,0.2,0
21952,VAN GESTEL Dries,VAN GESTEL Dries,Roy,2,TEN,BEL,29,0,18
