rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.WT1,"Itzulia Basque Country, General classification",42696,AYUSO PESQUERA Juan,31654,10,50,2024-04-06,Frank
2,2.WT1,"Itzulia Basque Country, General classification",42696,RODRIGUEZ CANO Carlos,30836,3,35,2024-04-06,Vel
3,2.WT1,"Itzulia Basque Country, General classification",42696,SKJELMOSE JENSEN Mattias,30166,1,25,2024-04-06,Kaspar
4,2.WT1,"Itzulia Basque Country, General classification",42696,SOLER GIMENEZ Marc,23299,0.5,20,2024-04-06,Jan
5,2.WT1,"Itzulia Basque Country, General classification",42696,MCNULTY Brandon,26508,0.2,18,2024-04-06,Kees
6,2.WT1,"Itzulia Basque Country, General classification",42696,BILBAO LOPEZ DE ARMENTIA Pello,17881,0,16,2024-04-06,Albert
7,2.WT1,"Itzulia Basque Country, General classification",42696,DEL TORO ROMERO Isaac,33556,0,14,2024-04-06,Kees
8,2.WT1,"Itzulia Basque Country, General classification",42696,VAUQUELIN Kévin,31264,0,12,2024-04-06,Albert
9,2.WT1,"Itzulia Basque Country, General classification",42696,IZAGIRRE INSAUSTI Ion,14321,0,10,2024-04-06,PB
10,2.WT1,"Itzulia Basque Country, General classification",42696,BAUDIN Alex,32146,0,8,2024-04-06,-
1,2.WT1s,"Itzulia Basque Country, Stage 6 : Eibar - Eibar",42695,RODRIGUEZ CANO Carlos,30836,1,0,2024-04-06,Vel
1,2.WT2r,"Itzulia Basque Country, Mountains classification",42698,KUSS Sepp,25653,0.0,0,2024-04-06,Arjan
1,2.WT2r,"Itzulia Basque Country, Points classification",42697,ARANBURU DEBA Alexander,23940,0.0,0,2024-04-06,Harry
1,2.1,"Tour of Thailand, General classification",42689,VAN ENGELEN Adne,24796,2,0,2024-04-06,-
2,2.1,"Tour of Thailand, General classification",42689,CHAIYASOMBAT Thanakhan,28399,0.3,0,2024-04-06,-
3,2.1,"Tour of Thailand, General classification",42689,BUDYAK Anatoliy,22337,0.1,0,2024-04-06,-
1,2.1s,"Tour of Thailand, Stage 6 : Phichit - Si Thep",42688,KERGOZOU DE LA BOESSIERE Nicholas,23977,0.2,0,2024-04-06,-
1,2.WT1s,"Itzulia Basque Country, Stage 5 : Vitoria - Amorebieta",42694,GREGOIRE Romain,32766,1,0,2024-04-05,Jan
1,2.1,"Région Pays de la Loire Tour, General classification",42703,VAN DEN BERG Marijn,27674,2,0,2024-04-05,Roy
2,2.1,"Région Pays de la Loire Tour, General classification",42703,COSTIOU Ewen,32834,0.3,0,2024-04-05,Kees
3,2.1,"Région Pays de la Loire Tour, General classification",42703,DVERSNES Fredrik,28553,0.1,0,2024-04-05,Jan
1,2.1s,"Région Pays de la Loire Tour, Stage 4 : Marolles-les-Braults - Le Mans",42702,VAN DEN BERG Marijn,27674,0.2,0,2024-04-05,Roy
1,2.1s,"Tour of Thailand, Stage 5 : Phitsanulok - Phichit",42687,SAMANSANTI Nati,31618,0.2,0,2024-04-05,-
1,2.WT1s,"Itzulia Basque Country, Stage 4 : Etxarri Aranatz - Legutio",42693,MEINTJES Louis,18413,1,0,2024-04-04,Wijnand
1,2.1s,"Région Pays de la Loire Tour, Stage 3 : Segré-en-Anjou Bleu - Château-Gontier",42701,DAINESE Alberto,26965,0.2,0,2024-04-04,Jan
1,2.1s,"Tour of Thailand, Stage 4 : Phitsanulok - Phetchabun",42686,EWART Jesse,22568,0.2,0,2024-04-04,-
