rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 12 : Ourense Termal - Estacion de Montaña de Manzaneda (prov.)",43488,O'Connor Ben,23763,1,0,2024-08-29,Nicky
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 12 : Ourense Termal - Estacion de Montaña de Manzaneda (prov.)",43488,Rodriguez Carlos,30836,0.1,0,2024-08-29,Vel
1,GT2s,"Vuelta a España , Stage 12 : Ourense Termal - Estacion de Montaña de Manzaneda (prov.)",43488,CASTRILLO ZAPATER Pablo,34135,2,0,2024-08-29,-
1,2.PSs,"Tour of Hainan, Stage 3 : Lingshui - Wuzhishan (prov.)",43553,GATE Aaron,13153,0.3,0,2024-08-29,-
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,O'Connor Ben,23763,1,0,2024-08-28,Nicky
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,Rodriguez Carlos,30836,0.1,0,2024-08-28,Vel
-2,GT2s,"Puntentrui na Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,van Aert Wout,20730,0.2,0,2024-08-28,Bram
-3,GT2s,"Bergtrui na Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,Yates Adam,18975,0.2,0,2024-08-28,Kees
1,GT2s,"Vuelta a España , Stage 11 : Padron - Padron (prov.)",43487,DUNBAR Edward,23765,2,0,2024-08-28,Paul
1,2.WT1s,"Renewi Tour , Stage 1 : Riemst - Bilzen (prov.)",43557,MILAN Jonathan,29359,1,0,2024-08-28,Albert
1,2.PSs,"Tour of Hainan, Stage 2 : Qionghai - Lingshui (prov.)",43552,LAAS Martin,21460,0.3,0,2024-08-28,-
1,1.1,Muur Classic Geraardsbergen (prov.),43351,BERCKMOES Jenno,32588,2,0,2024-08-28,-
2,1.1,Muur Classic Geraardsbergen (prov.),43351,JOHANNESSEN Tobias Halland,31567,0.3,0,2024-08-28,Albert
3,1.1,Muur Classic Geraardsbergen (prov.),43351,CHRISTEN Fabio,31719,0.1,0,2024-08-28,-
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,O'Connor Ben,23763,1,0,2024-08-27,Nicky
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,Lipowitz Florian,30805,0.1,0,2024-08-27,-
-2,GT2s,"Puntentrui na Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,van Aert Wout,20730,0.2,0,2024-08-27,Bram
-3,GT2s,"Bergtrui na Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,Yates Adam,18975,0.2,0,2024-08-27,Kees
1,GT2s,"Vuelta a España , Stage 10 : Punteareas - Baiona (prov.)",43486,VAN AERT Wout,20730,2,0,2024-08-27,Bram
1,2.PSs,"Tour of Hainan, Stage 1 : Qionghai - Qionghai (prov.)",43551,MARECZKO Jakub,22713,0.3,0,2024-08-27,-
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 9 : Motril - Granada (prov.)",43485,O'Connor Ben,23763,1,0,2024-08-25,Nicky
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 9 : Motril - Granada (prov.)",43485,Lipowitz Florian,30805,0.1,0,2024-08-25,-
-2,GT2s,"Puntentrui na Vuelta a España , Stage 9 : Motril - Granada (prov.)",43485,van Aert Wout,20730,0.2,0,2024-08-25,Bram
-3,GT2s,"Bergtrui na Vuelta a España , Stage 9 : Motril - Granada (prov.)",43485,Yates Adam,18975,0.2,0,2024-08-25,Kees
1,GT2s,"Vuelta a España , Stage 9 : Motril - Granada (prov.)",43485,YATES Adam,18975,2,0,2024-08-25,Kees
1,1.WT2,Bretagne Classic - Ouest-France,43348,HIRSCHI Marc,26509,10,50,2024-08-25,Bram
2,1.WT2,Bretagne Classic - Ouest-France,43348,MAGNIER Paul,34555,3,35,2024-08-25,-
3,1.WT2,Bretagne Classic - Ouest-France,43348,CORT NIELSEN Magnus,19448,1,25,2024-08-25,Nicky
4,1.WT2,Bretagne Classic - Ouest-France,43348,DE LIE Arnaud,32221,0.5,20,2024-08-25,PB
5,1.WT2,Bretagne Classic - Ouest-France,43348,NYS Thibau,32185,0.2,18,2024-08-25,Jan
6,1.WT2,Bretagne Classic - Ouest-France,43348,GODON Dorian,25704,0,16,2024-08-25,PB
7,1.WT2,Bretagne Classic - Ouest-France,43348,MATTHEWS Michael,13066,0,14,2024-08-25,PB
8,1.WT2,Bretagne Classic - Ouest-France,43348,GRUEL Thibaud,34337,0,12,2024-08-25,-
9,1.WT2,Bretagne Classic - Ouest-France,43348,VENTURINI Clément,21428,0,10,2024-08-25,-
10,1.WT2,Bretagne Classic - Ouest-France,43348,PAGE Hugo,30663,0,8,2024-08-25,Jan
1,2.PS,"Deutschland Tour, General classification",43526,PEDERSEN Mads,21992,4,50,2024-08-25,Kees
2,2.PS,"Deutschland Tour, General classification",43526,VAN POPPEL Danny,19242,1,35,2024-08-25,Albert
