rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.1s,"Tour de Slovaquie, Stage 4 : Partizanske - Ruzomberok (prov.)",43264,ADAMIETZ Johannes,26533,0.2,0,2024-06-29,-
1,NCT5,National Championships Greece (Mouries) I.T.T. (prov.),43086,TZORTZAKIS Polychronis,13800,0.0,0,2024-06-29,-
1,NC5,National Championships Cyprus (Agrokipia) R.R. (prov.),43116,MILTIADIS Andreas,22735,0.0,0,2024-06-29,-
1,NCT5,National Championships Montenegro (Danilovgrad) I.T.T. (prov.),43583,RADUNOVIC Aleksandar,30657,0.0,0,2024-06-29,-
1,2.1s,"Tour de Slovaquie, Stage 3 : Piestany - Dubnica nad Vahom (prov.)",43263,ALAPHILIPPE Julian,18610,0.2,0,2024-06-28,Kaspar
1,NCT5,National Championships Morocco () I.T.T. (prov.),43076,EL ARBAOUI Adil,26207,0.0,0,2024-06-28,-
1,NCT5,National Championships Iceland (Holar) I.T.T. (prov.),43138,OMARSSON Ingvar,21882,0.0,0,2024-06-28,-
1,2.1s,"Tour de Slovaquie, Stage 2 : Nitra -Hlohovec (prov.)",43262,FOLDAGER Anders,31400,0.2,0,2024-06-27,-
1,NCT5,National Championships Brazil (Palmas) I.T.T.,43115,MENDES Diego de Jesus,35334,0.0,0,2024-06-27,-
1,NCT5,National Championships South Korea (Yangyang) I.T.T.,43110,CHOE Hyeong-min,13531,0.0,0,2024-06-27,-
1,NCT5,National Championships Cyprus (Perivolia) I.T.T.,43117,MILTIADIS Andreas,22735,0.0,0,2024-06-26,-
1,NC5,National Championships Mongolia (Altanbulag) R.R.,43570,ERDENEBAT Bilguunjargal,26172,0.0,0,2024-06-25,-
1,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,DE LIE Arnaud,32221,5,50,2024-06-23,PB
2,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,PHILIPSEN Jasper,26392,2,35,2024-06-23,Nicky
3,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,MEEUS Jordi,26421,1,25,2024-06-23,Vel
4,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,NYS Thibau,32185,0,20,2024-06-23,Jan
5,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,VAN AERT Wout,20730,0,18,2024-06-23,Bram
6,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,MERLIER Tim,17988,0,16,2024-06-23,Frank
7,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,VAN EETVELT Lennert,32225,0,14,2024-06-23,Albert
8,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,REX Laurenz,28442,0,12,2024-06-23,-
9,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,NAESEN Oliver,21392,0,10,2024-06-23,-
10,1.WT3,National Championships Belgium (Zottegem) R.R.,43027,MENTEN Milan,24180,0,8,2024-06-23,Kees
1,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,ARANBURU DEBA Alexander,23940,5,50,2024-06-23,Harry
2,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,LAZKANO LOPEZ Oier,30595,2,35,2024-06-23,Frank
3,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,HERRADA LOPEZ Jesus,17534,1,25,2024-06-23,Nicky
4,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,CANAL BLANCO Carlos,30708,0,20,2024-06-23,-
5,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,LANDA MEANA Mikel,14319,0,18,2024-06-23,Albert
6,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,ADRIA OLIVERAS Roger,27469,0,16,2024-06-23,-
7,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,CASTRILLO ZAPATER Pablo,34135,0,14,2024-06-23,-
8,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,OKAMIKA BENGOETXEA Ander,31334,0,12,2024-06-23,-
9,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,MARTI SORIANO Pau,34660,0,10,2024-06-23,-
10,1.WT3,National Championships Spain (San Lorenzo de El Escorial) R.R.,43035,DE LA CRUZ MELGAREJO David,12719,0,8,2024-06-23,-
