rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,POGACAR Tadej,26526,10,50,2024-03-24,Wijnand
2,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,LANDA MEANA Mikel,14319,3,35,2024-03-24,Albert
3,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,BERNAL GOMEZ Egan Arley,24926,1,25,2024-03-24,Arjan
4,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,VLASOV Aleksandr,24316,0.5,20,2024-03-24,Paul
5,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,MAS NICOLAU Enric,22794,0.2,18,2024-03-24,Bram
6,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,HARPER Chris,25066,0,16,2024-03-24,-
7,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,MARTINEZ Lenny,32721,0,14,2024-03-24,Kees
8,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,TIBERI Antonio,30649,0,12,2024-03-24,-
9,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,ALMEIDA Joao Pedro Gonçalves,26482,0,10,2024-03-24,Kaspar
10,2.WT1,"Volta a Catalunya, General classification (prov.)",42628,FORTUNATO Lorenzo,25552,0,8,2024-03-24,Paul
1,2.WT1s,"Volta a Catalunya, Stage 7 : Barcelona - Barcelona (prov.)",42627,POGACAR Tadej,26526,1,0,2024-03-24,Wijnand
1,2.WT2r,"Volta a Catalunya, Points classification (prov.)",42629,POGACAR Tadej,26526,0.0,0,2024-03-24,Wijnand
1,2.WT2r,"Volta a Catalunya, Mountains classification (prov.)",42630,POGACAR Tadej,26526,0.0,0,2024-03-24,Wijnand
1,2.WT1s,"Volta a Catalunya, Stage 6 : Berga - Queralt (prov.)",42626,POGACAR Tadej,26526,1,0,2024-03-23,Wijnand
1,2.1,"Settimana Coppi e Bartali, General classification",42636,BOUWMAN Koen,20770,2,0,2024-03-23,-
2,2.1,"Settimana Coppi e Bartali, General classification",42636,RYAN Archie,30565,0.3,0,2024-03-23,-
3,2.1,"Settimana Coppi e Bartali, General classification",42636,ULISSI Diego,10023,0.1,0,2024-03-23,Kaspar
1,2.1s,"Settimana Coppi e Bartali, Stage 5 : Forli - Forli",42649,BERCKMOES Jenno,32588,0.2,0,2024-03-23,-
1,1.WT2,E3 Saxo Classic,42570,VAN DER POEL Mathieu,21971,10,50,2024-03-22,Harry
2,1.WT2,E3 Saxo Classic,42570,STUYVEN Jasper,18233,3,35,2024-03-22,Jan
3,1.WT2,E3 Saxo Classic,42570,VAN AERT Wout,20730,1,25,2024-03-22,Bram
4,1.WT2,E3 Saxo Classic,42570,WELLENS Tim,16722,0.5,20,2024-03-22,Jan
5,1.WT2,E3 Saxo Classic,42570,JORGENSON Matteo,28057,0.2,18,2024-03-22,Paul
6,1.WT2,E3 Saxo Classic,42570,NARVAEZ PRADO Jhonatan Manuel,25157,0,16,2024-03-22,Nicky
7,1.WT2,E3 Saxo Classic,42570,POLITT Nils,20847,0,14,2024-03-22,Kees
8,1.WT2,E3 Saxo Classic,42570,SKUJINS Toms,16739,0,12,2024-03-22,-
9,1.WT2,E3 Saxo Classic,42570,ALBANESE Vincenzo,24139,0,10,2024-03-22,-
10,1.WT2,E3 Saxo Classic,42570,KIRSCH Alex,19545,0,8,2024-03-22,-
1,2.WT1s,"Volta a Catalunya, Stage 5 : Altafula - Viladecans (prov.)",42625,LAURANCE Axel,31621,1,0,2024-03-22,Jan
1,2.1s,"Settimana Coppi e Bartali, Stage 4 : Brisighella - Brisighella",42635,RYAN Archie,30565,0.2,0,2024-03-22,-
1,2.WT1s,"Volta a Catalunya, Stage 4 : Sort - Lleida (prov.)",42624,VAN DEN BERG Marijn,27674,1,0,2024-03-21,Roy
1,2.1s,"Settimana Coppi e Bartali, Stage 3 : Riccione - Riccione",42634,BOUWMAN Koen,20770,0.2,0,2024-03-21,-
